"id","sequence","sourceParagraph","sourceUrl","rowType","dateSourceParagraph","dateExpression","dateKind","startYear","startQualifier","endYear","endQualifier","alternativeYears","description","scriptureReferences","publicationReferences","categories","suggestedType"
"jw-dates-calendar-p110","42","p110","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=110","continuation","p108","1919","point","1919","exact","","","","Sarai’s name changed to Sarah","Ge 17:15","it-2 863","other","event"
"jw-dates-calendar-p111","43","p111","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=111","continuation","p108","1919","point","1919","exact","","","","Abraham hosts three angels","","it-1 31","other","event"
"jw-dates-calendar-p112","44","p112","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=112","continuation","p108","1919","point","1919","exact","","","","Sodom and Gomorrah destroyed","","it-1 31; | si 294","warfare","event"
"jw-dates-calendar-p113","45","p113","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=113","continuation","p108","1919","point","1919","exact","","","","Abimelech, king of Gerar, tries to take Sarah (age 89) for harem","","it-1 24, | 31","rulership","event"
"jw-dates-calendar-p114","46","p114","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=114","dated","p114","1918","point","1918","exact","","","","Isaac born","","it-1 31, | 462, | 776; | si 294","birth","person-boundary"
"jw-dates-calendar-p115","47","p115","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=115","continuation","p114","1918","point","1918","exact","","","","450-year period begins","Ac 13:17-20","it-1 777; | si 294","other","event"
"jw-dates-calendar-p116","48","p116","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=116","dated","p116","1913","point","1913","exact","","","","Isaac weaned (age 5); Ishmael (age 19) mocks","Ge 21:8, 9; | Ga 4:29","it-1 31, | 461, | 776, | 1216-1217, | 1225; | si 294","other","event"
"jw-dates-calendar-p117","49","p117","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=117","continuation","p116","1913","point","1913","exact","","","","400-year affliction begins","Ge 15:13","it-1 31, | 460-461, | 776, | 1216, | 1225; | w16.07 14-15; | w04 1/15 27; | si 17, | 286, | 294","other","event"
"jw-dates-calendar-p118","50","p118","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=118","dated","p118","c. 1900","point","1900","approximate","","","","Rebekah born","","wcg 15","birth","person-boundary"
"jw-dates-calendar-p119","51","p119","https://wol.jw.org/en/wol/d/r1/lp-e/1200271562#h=119","dated","p119","1893","point","1893","exact","","","","Abraham (age 125) attempts to sacrifice Isaac (age 25)","","it-1 31","other","event"
